Scenario - MEG
Logfile written - 10/08/2021 13:27:42

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	50333	0	1	5167	1	0	5000	other	0
2	Picture	white1_pain_false	164998	13650	1	5167	1	13650	5000	other	0
3	Picture	white1_pain_false	183165	12010	1	5167	1	12010	5000	other	0
4	Picture	asian1_pain_false	205831	16430	1	5167	1	16430	5000	other	0
5	Picture	asian1_pain_false	225664	13710	1	5167	1	13710	5000	other	0
6	Picture	asian1_pain_false	243831	12060	1	5167	1	12060	5000	other	0
7	Picture	white1_pain_false	260997	11030	1	5167	1	11030	5000	other	0
8	Picture	question	277164	10870	1	30166	1	10870	30000	other	0
9	Picture	black1_pain_true	319330	10870	1	5167	1	10870	5000	other	0
10	Picture	latin1_pain_true	344830	19210	1	5167	1	19210	5000	other	0
11	Picture	white1_pain_true	367830	16860	1	5167	1	16860	5000	other	0
12	Picture	white1_pain_false	390663	16730	1	5167	1	16730	5000	other	0
13	Picture	white1_pain_false	412329	15460	1	5167	1	15460	5000	other	0
14	Picture	latin1_pain_false	434662	16190	1	5167	1	16190	5000	other	0
15	Picture	black1_pain_false	454829	13970	1	5167	1	13970	5000	other	0
16	Picture	black1_pain_false	476162	15240	1	5167	1	15240	5000	other	0
17	Picture	black1_pain_true	498995	16720	1	5167	1	16720	5000	other	0
18	Picture	black1_pain_false	520495	15250	1	5167	1	15250	5000	other	0
19	Picture	asian1_pain_false	546328	19730	1	5167	1	19730	5000	other	0
20	Picture	white1_pain_false	568328	15820	1	5167	1	15820	5000	other	0
21	Picture	white1_pain_false	588327	13940	1	5167	1	13940	5000	other	0
22	Picture	white1_pain_false	610327	15820	1	5167	1	15820	5000	other	0
23	Picture	white1_pain_false	634827	18270	1	5167	1	18270	5000	other	0
24	Picture	latin1_pain_false	659993	18950	1	5167	1	18950	5000	other	0
25	Picture	white1_pain_true	684660	18620	1	5167	1	18620	5000	other	0
26	Picture	white1_pain_false	701493	10780	1	5167	1	10780	5000	other	0
27	Picture	question	717493	10790	1	30166	1	10790	30000	other	0
28	Picture	black1_pain_true	759659	10790	1	5167	1	10790	5000	other	0
29	Picture	latin1_pain_false	783659	17830	1	5167	1	17830	5000	other	0
30	Picture	asian1_pain_true	806992	17120	1	5167	1	17120	5000	other	0
31	Picture	latin1_pain_true	829658	16530	1	5167	1	16530	5000	other	0
32	Picture	latin1_pain_false	850158	14270	1	5167	1	14270	5000	other	0
33	Picture	white1_pain_true	870825	14440	1	5167	1	14440	5000	other	0
34	Picture	white1_pain_true	889325	12330	1	5167	1	12330	5000	other	0
35	Picture	white1_pain_false	909491	14030	1	5167	1	14030	5000	other	0
36	Picture	white1_pain_false	930324	14670	1	5167	1	14670	5000	other	0
37	Picture	white1_pain_false	949324	12840	1	5167	1	12840	5000	other	0
38	Picture	white1_pain_false	969324	13810	1	5167	1	13810	5000	other	0
39	Picture	black1_pain_false	994157	18700	1	5167	1	18700	5000	other	0
40	Picture	latin1_pain_false	1019323	19090	1	5167	1	19090	5000	other	0
41	Picture	white1_pain_false	1038823	13310	1	5167	1	13310	5000	other	0
42	Picture	asian1_pain_false	1060323	15270	1	5167	1	15270	5000	other	0
43	Picture	white1_pain_false	1084989	18470	1	5167	1	18470	5000	other	0
44	Picture	black1_pain_false	1104156	13010	1	5167	1	13010	5000	other	0
45	Picture	black1_pain_true	1125322	14960	1	5167	1	14960	5000	other	0
46	Picture	asian1_pain_false	1150155	18660	1	5167	1	18660	5000	other	0
47	Picture	white1_pain_false	1170322	14100	1	5167	1	14100	5000	other	0
48	Picture	white1_pain_false	1193321	16780	1	5167	1	16780	5000	other	0
49	Picture	asian1_pain_false	1211988	12390	1	5167	1	12390	5000	other	0
50	Picture	asian1_pain_true	1229654	11420	1	5167	1	11420	5000	other	0
51	Picture	latin1_pain_false	1250654	14840	1	5167	1	14840	5000	other	0
52	Picture	black1_pain_true	1273487	16710	1	5167	1	16710	5000	other	0
53	Picture	white1_pain_false	1290154	10480	1	5167	1	10480	5000	other	0
54	Picture	white1_pain_true	1316154	19820	1	5167	1	19820	5000	other	0
55	Picture	white1_pain_false	1335320	12980	1	5167	1	12980	5000	other	0
56	Picture	black1_pain_false	1351487	10060	1	5167	1	10060	5000	other	0
57	Picture	asian1_pain_false	1370486	12730	1	5167	1	12730	5000	other	0
58	Picture	white1_pain_false	1395986	19320	1	5167	1	19320	5000	other	0
59	Picture	asian1_pain_false	1418653	16610	1	5167	1	16610	5000	other	0
60	Picture	white1_pain_false	1442319	17350	1	5167	1	17350	5000	other	0
61	Picture	latin1_pain_true	1458986	10530	1	5167	1	10530	5000	other	0
62	Picture	white1_pain_false	1478819	13760	1	5167	1	13760	5000	other	0
63	Picture	white1_pain_false	1504485	19450	1	5167	1	19450	5000	other	0
64	Picture	black1_pain_false	1524152	13550	1	5167	1	13550	5000	other	0
65	Picture	white1_pain_false	1545318	14980	1	5167	1	14980	5000	other	0
66	Picture	white1_pain_false	1562651	11060	1	5167	1	11060	5000	other	0
67	Picture	white1_pain_false	1586651	17830	1	5167	1	17830	5000	other	0
68	Picture	white1_pain_false	1612317	19380	1	5167	1	19380	5000	other	0
69	Picture	asian1_pain_false	1635151	16640	1	5167	1	16640	5000	other	0
70	Picture	white1_pain_false	1660150	18860	1	5167	1	18860	5000	other	0
71	Picture	black1_pain_false	1676317	10050	1	5167	1	10050	5000	other	0
72	Picture	latin1_pain_false	1702150	19610	1	5167	1	19610	5000	other	0
73	Picture	black1_pain_false	1726983	18570	1	5167	1	18570	5000	other	0
74	Picture	white1_pain_false	1744316	11190	1	5167	1	11190	5000	other	0
75	Picture	white1_pain_false	1761149	10600	1	5167	1	10600	5000	other	0
76	Picture	white1_pain_true	1779149	11740	1	5167	1	11740	5000	other	0
77	Picture	white1_pain_false	1797316	12050	1	5167	1	12050	5000	other	0
78	Picture	white1_pain_false	1817982	14410	1	5167	1	14410	5000	other	0
79	Picture	black1_pain_true	1839649	15530	1	5167	1	15530	5000	other	0
80	Picture	black1_pain_false	1857815	12070	1	5167	1	12070	5000	other	0
81	Picture	white1_pain_false	1877815	13810	1	5167	1	13810	5000	other	0
82	Picture	latin1_pain_false	1901148	17120	1	5167	1	17120	5000	other	0
83	Picture	white1_pain_false	1918648	11270	1	5167	1	11270	5000	other	0
84	Picture	black1_pain_false	1941648	16890	1	5167	1	16890	5000	other	0
85	Picture	white1_pain_false	1961314	13460	1	5167	1	13460	5000	other	0
86	Picture	asian1_pain_false	1984147	16670	1	5167	1	16670	5000	other	0
87	Picture	black1_pain_false	2008814	18470	1	5167	1	18470	5000	other	0
88	Picture	white1_pain_false	2026813	11730	1	5167	1	11730	5000	other	0
89	Picture	black1_pain_false	2052647	19590	1	5167	1	19590	5000	other	0
90	Picture	asian1_pain_false	2071980	13230	1	5167	1	13230	5000	other	0
91	Picture	white1_pain_false	2088646	10530	1	5167	1	10530	5000	other	0
92	Picture	white1_pain_false	2109646	14880	1	5167	1	14880	5000	other	0
93	Picture	white1_pain_false	2130146	14220	1	5167	1	14220	5000	other	0
94	Picture	latin1_pain_false	2148812	12530	1	5167	1	12530	5000	other	0
95	Picture	white1_pain_true	2174812	19850	1	5167	1	19850	5000	other	0
96	Picture	white1_pain_true	2199312	18450	1	5167	1	18450	5000	other	0
97	Picture	white1_pain_false	2220312	14900	1	5167	1	14900	5000	other	0
98	Picture	latin1_pain_false	2238811	12450	1	5167	1	12450	5000	other	0
99	Picture	white1_pain_false	2257145	12170	1	5167	1	12170	5000	other	0
100	Picture	white1_pain_false	2280644	17350	1	5167	1	17350	5000	other	0
101	Picture	latin1_pain_false	2303811	17000	1	5167	1	17000	5000	other	0
102	Picture	white1_pain_false	2323144	13250	1	5167	1	13250	5000	other	0
103	Picture	white1_pain_false	2348144	18880	1	5167	1	18880	5000	other	0
104	Picture	start_experiment	2994471	0	1	5167	1	0	5000	other	0
105	Picture	black1_pain_false	3106470	10870	1	5167	1	10870	5000	other	0
106	Picture	latin1_pain_false	3122803	10170	1	5167	1	10170	5000	other	0
107	Picture	white1_pain_false	3146136	17090	1	5167	1	17090	5000	other	0
108	Picture	white1_pain_false	3167469	15130	1	5167	1	15130	5000	other	0
109	Picture	black1_pain_true	3188636	15110	1	5167	1	15110	5000	other	0
110	Picture	latin1_pain_false	3212135	17400	1	5167	1	17400	5000	other	0
111	Picture	white1_pain_false	3235135	16870	1	5167	1	16870	5000	other	0
112	Picture	white1_pain_true	3259802	18580	1	5167	1	18580	5000	other	0
113	Picture	asian1_pain_false	3281635	15690	1	5167	1	15690	5000	other	0
114	Picture	latin1_pain_true	3300301	12490	1	5167	1	12490	5000	other	0
115	Picture	white1_pain_true	3316968	10520	1	5167	1	10520	5000	other	0
116	Picture	latin1_pain_false	3334134	11010	1	5167	1	11010	5000	other	0
117	Picture	white1_pain_false	3353467	13210	1	5167	1	13210	5000	other	0
118	Picture	black1_pain_true	3378634	18920	1	5167	1	18920	5000	other	0
119	Picture	latin1_pain_false	3398634	13760	1	5167	1	13760	5000	other	0
120	Picture	asian1_pain_false	3423467	18650	1	5167	1	18650	5000	other	0
121	Picture	white1_pain_false	3441133	11440	1	5167	1	11440	5000	other	0
122	Picture	white1_pain_false	3461466	14220	1	5167	1	14220	5000	other	0
123	Picture	black1_pain_true	3479800	12240	1	5167	1	12240	5000	other	0
124	Picture	latin1_pain_true	3497966	11920	1	5167	1	11920	5000	other	0
125	Picture	white1_pain_true	3523966	19710	1	5167	1	19710	5000	other	0
126	Picture	white1_pain_true	3540466	10320	1	5167	1	10320	5000	other	0
127	Picture	white1_pain_false	3556799	10120	1	5167	1	10120	5000	other	0
