Scenario - MEG
Logfile written - 10/07/2021 19:58:07

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	51035	0	1	5171	2	0	5000	other	0
2	Picture	latin1_pain_true	165300	13380	1	5171	2	13380	5000	other	0
3	Picture	latin1_pain_true	188821	17490	1	5171	2	17490	5000	other	0
4	Picture	white1_pain_false	212508	17440	1	5171	2	17440	5000	other	0
5	Picture	white1_pain_false	228855	10160	1	5338	1	10160	5000	other	0
6	Picture	asian1_pain_true	245536	10290	1	5171	2	10290	5000	other	0
7	Picture	latin1_pain_false	261717	10130	1	5171	1	10130	5000	other	0
8	Picture	asian1_pain_true	287740	19830	1	5171	2	19830	5000	other	0
9	Picture	white1_pain_false	305255	11390	1	5171	1	11390	5000	other	0
10	Picture	white1_pain_false	330443	19250	1	5171	1	19250	5000	other	0
11	Picture	latin1_pain_false	349793	13290	1	5171	2	13290	5000	other	0
12	Picture	latin1_pain_false	373814	18010	1	5171	1	18010	5000	other	0
13	Picture	latin1_pain_false	395333	15440	1	5505	2	15440	5000	other	0
14	Picture	white1_pain_true	419520	17750	1	5171	2	17750	5000	other	0
15	Picture	white1_pain_false	445543	19650	1	5171	2	19650	5000	other	0
16	Picture	white1_pain_false	468563	16960	1	5171	1	16960	5000	other	0
17	Picture	question	484576	10670	1	30360	1	10670	30000	other	0
18	Picture	white1_pain_true	526613	10670	1	5171	1	10670	5000	other	0
19	Picture	black1_pain_true	549466	16750	1	5171	2	16750	5000	other	0
20	Picture	black1_pain_false	575322	19730	1	5171	1	19730	5000	other	0
21	Picture	white1_pain_true	593504	12130	1	5171	2	12130	5000	other	0
22	Picture	white1_pain_false	610352	10750	1	5171	1	10750	5000	other	0
23	Picture	black1_pain_false	629035	12580	1	5171	2	12580	5000	other	0
24	Picture	white1_pain_false	646550	11480	678	5171	679	11480	5000	other	0
25	Picture	latin1_pain_false	672572	19990	1	5171	1	19990	5000	other	0
26	Picture	white1_pain_false	696259	17570	1	5338	1	17570	5000	other	0
27	Picture	white1_pain_false	714108	11600	1	5171	1	11600	5000	other	0
28	Picture	white1_pain_true	735794	15720	1	5171	1	15720	5000	other	0
29	Picture	white1_pain_false	762150	19970	1	5171	1	19970	5000	other	0
30	Picture	white1_pain_false	787839	19630	1	5171	1	19630	5000	other	0
31	Picture	white1_pain_true	812193	18250	1	5171	1	18250	5000	other	0
32	Picture	asian1_pain_false	833211	15030	1	5171	2	15030	5000	other	0
33	Picture	white1_pain_true	854730	15320	1	5171	2	15320	5000	other	0
34	Picture	white1_pain_true	874247	13470	1	5171	2	13470	5000	other	0
35	Picture	asian1_pain_false	898267	17920	1	5171	2	17920	5000	other	0
36	Picture	white1_pain_false	924290	19860	1	5171	1	19860	5000	other	0
37	Picture	black1_pain_false	945975	15690	1	5171	1	15690	5000	other	0
38	Picture	black1_pain_false	965993	14000	1	5171	1	14000	5000	other	0
39	Picture	white1_pain_true	984842	12710	1	5171	1	12710	5000	other	0
40	Picture	white1_pain_false	1001356	10530	1	5171	2	10530	5000	other	0
41	Picture	white1_pain_false	1026378	18860	1	5171	2	18860	5000	other	0
42	Picture	black1_pain_false	1047229	14820	1	5171	1	14820	5000	other	0
43	Picture	asian1_pain_false	1063410	10100	1	5838	1	10100	5000	other	0
44	Picture	black1_pain_false	1083594	13540	1	5171	2	13540	5000	other	0
45	Picture	white1_pain_true	1108949	19350	1	5171	2	19350	5000	other	0
46	Picture	white1_pain_true	1132303	17220	1	5171	1	17220	5000	other	0
47	Picture	black1_pain_true	1148317	10050	1	5171	1	10050	5000	other	0
48	Picture	white1_pain_false	1169001	14670	1	5171	1	14670	5000	other	0
49	Picture	black1_pain_true	1186517	11410	1	5171	1	11410	5000	other	0
50	Picture	white1_pain_false	1206701	14140	1	5171	1	14140	5000	other	0
51	Picture	white1_pain_false	1232056	19350	1	5171	1	19350	5000	other	0
52	Picture	white1_pain_false	1254909	16710	1	5171	1	16710	5000	other	0
53	Picture	white1_pain_false	1275260	14280	1	5171	1	14280	5000	other	0
54	Picture	asian1_pain_false	1299447	18020	1	5171	1	18020	5000	other	0
55	Picture	black1_pain_true	1319298	13710	1	5171	1	13710	5000	other	0
56	Picture	white1_pain_false	1338648	13060	1	5171	1	13060	5000	other	0
57	Picture	white1_pain_false	1360834	16230	1	5171	1	16230	5000	other	0
58	Picture	white1_pain_true	1378516	11590	1	5171	1	11590	5000	other	0
59	Picture	white1_pain_false	1394697	10100	1	5171	2	10100	5000	other	0
60	Picture	white1_pain_false	1420552	19790	1	5171	2	19790	5000	other	0
61	Picture	black1_pain_false	1438901	12250	1	5171	1	12250	5000	other	0
62	Picture	black1_pain_false	1463589	18690	1	5171	1	18690	5000	other	0
63	Picture	black1_pain_true	1481105	11440	1	5171	1	11440	5000	other	0
64	Picture	white1_pain_false	1499954	12720	1	5171	1	12720	5000	other	0
65	Picture	asian1_pain_false	1518470	12490	1	5171	1	12490	5000	other	0
66	Picture	white1_pain_false	1542324	17750	1	5171	1	17750	5000	other	0
67	Picture	asian1_pain_false	1568180	19830	1	5171	1	19830	5000	other	0
68	Picture	latin1_pain_false	1587029	12250	1	5171	1	12250	5000	other	0
69	Picture	white1_pain_true	1611551	18430	1	5171	1	18430	5000	other	0
70	Picture	black1_pain_false	1637073	19510	1	5171	2	19510	5000	other	0
71	Picture	white1_pain_false	1654254	11160	1	5171	1	11160	5000	other	0
72	Picture	asian1_pain_true	1671936	11600	1	5171	2	11600	5000	other	0
73	Picture	latin1_pain_false	1695123	17150	1	5171	2	17150	5000	other	0
74	Picture	white1_pain_false	1719978	18710	1	5171	1	18710	5000	other	0
75	Picture	white1_pain_true	1741496	15440	1	5171	2	15440	5000	other	0
76	Picture	white1_pain_false	1762014	14470	1	5171	1	14470	5000	other	0
77	Picture	asian1_pain_true	1781364	13230	1	5171	1	13230	5000	other	0
78	Picture	white1_pain_false	1798212	10730	1	5171	1	10730	5000	other	0
79	Picture	white1_pain_true	1814393	10130	1	5171	1	10130	5000	other	0
80	Picture	black1_pain_false	1833576	12950	1	5171	2	12950	5000	other	0
81	Picture	white1_pain_true	1858931	19330	1	5171	2	19330	5000	other	0
82	Picture	white1_pain_false	1875279	10260	1	5171	1	10260	5000	other	0
83	Picture	white1_pain_false	1894128	12880	1	5171	1	12880	5000	other	0
84	Picture	white1_pain_false	1917315	17040	1	5171	1	17040	5000	other	0
85	Picture	white1_pain_false	1935497	12150	1	5338	1	12150	5000	other	0
86	Picture	black1_pain_false	1959018	17190	1	5171	2	17190	5000	other	0
87	Picture	white1_pain_false	1983205	17830	1	5171	2	17830	5000	other	0
88	Picture	asian1_pain_false	2007893	18730	1	5171	1	18730	5000	other	0
89	Picture	white1_pain_true	2029412	15410	1	5171	1	15410	5000	other	0
90	Picture	latin1_pain_false	2049262	13840	1	5171	1	13840	5000	other	0
91	Picture	black1_pain_true	2072115	16730	1	5171	2	16730	5000	other	0
92	Picture	white1_pain_false	2088463	10280	1	5171	1	10280	5000	other	0
93	Picture	latin1_pain_true	2107646	10270	1	5171	2	10270	5000	other	0
94	Picture	latin1_pain_true	2126830	13000	1	5338	1	13000	5000	other	0
95	Picture	white1_pain_true	2143677	10440	1	5171	1	10440	5000	other	0
96	Picture	white1_pain_true	2165029	15290	1	5171	1	15290	5000	other	0
97	Picture	black1_pain_false	2183545	12410	1	5171	1	12410	5000	other	0
98	Picture	latin1_pain_false	2204897	15240	1	5171	1	15240	5000	other	0
99	Picture	latin1_pain_false	2224581	13650	1	5171	1	13650	5000	other	0
100	Picture	white1_pain_true	2245932	15320	1	5171	1	15320	5000	other	0
101	Picture	latin1_pain_false	2266450	14550	1	5171	1	14550	5000	other	0
102	Picture	latin1_pain_true	2283131	10610	1	5171	1	10610	5000	other	0
103	Picture	white1_pain_true	2304149	14950	1	5171	2	14950	5000	other	0
104	Picture	asian1_pain_false	2326836	16700	1	5171	2	16700	5000	other	0
105	Picture	white1_pain_false	2352858	19910	1	5171	2	19910	5000	other	0
106	Picture	asian1_pain_false	2375878	16800	1	5171	1	16800	5000	other	0
