Scenario - MEG
Logfile written - 10/08/2021 14:04:47

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	50333	0	1	5167	1	0	5000	other	0
2	Picture	asian1_pain_true	163832	12530	1	5167	1	12530	5000	other	0
3	Picture	white1_pain_false	186832	16790	1	5167	1	16790	5000	other	0
4	Picture	white1_pain_true	204331	11280	1	5167	1	11280	5000	other	0
5	Picture	white1_pain_false	222331	11850	1	5167	1	11850	5000	other	0
6	Picture	asian1_pain_true	241164	12690	1	5167	1	12690	5000	other	0
7	Picture	latin1_pain_false	261664	14290	1	5167	1	14290	5000	other	0
8	Picture	black1_pain_false	287497	19560	1	5167	1	19560	5000	other	0
9	Picture	white1_pain_false	312164	18530	1	5167	1	18530	5000	other	0
10	Picture	white1_pain_false	337830	19510	1	5167	1	19510	5000	other	0
11	Picture	latin1_pain_false	355497	11470	1	5167	1	11470	5000	other	0
12	Picture	white1_pain_false	374163	12470	1	5167	1	12470	5000	other	0
13	Picture	latin1_pain_false	390996	10710	1	5167	1	10710	5000	other	0
14	Picture	white1_pain_true	409663	12410	1	5167	1	12410	5000	other	0
15	Picture	latin1_pain_false	425829	10010	1	5167	1	10010	5000	other	0
16	Picture	latin1_pain_false	444329	12400	1	5167	1	12400	5000	other	0
17	Picture	latin1_pain_false	463496	12970	1	5167	1	12970	5000	other	0
18	Picture	asian1_pain_false	482162	12580	1	5167	1	12580	5000	other	0
19	Picture	black1_pain_true	499162	10870	1	5167	1	10870	5000	other	0
20	Picture	white1_pain_false	520828	15490	1	5167	1	15490	5000	other	0
21	Picture	asian1_pain_true	545495	18560	1	5167	1	18560	5000	other	0
22	Picture	asian1_pain_false	570828	19170	1	5167	1	19170	5000	other	0
23	Picture	white1_pain_false	594661	17700	1	5167	1	17700	5000	other	0
24	Picture	white1_pain_false	620661	19880	1	5167	1	19880	5000	other	0
25	Picture	white1_pain_true	641660	14800	1	5167	1	14800	5000	other	0
26	Picture	white1_pain_true	660660	12840	1	5167	1	12840	5000	other	0
27	Picture	latin1_pain_true	680327	13550	1	5167	1	13550	5000	other	0
28	Picture	asian1_pain_false	697160	10750	1	5167	1	10750	5000	other	0
29	Picture	asian1_pain_true	720660	17260	1	5167	1	17260	5000	other	0
30	Picture	asian1_pain_false	741660	14840	1	5167	1	14840	5000	other	0
31	Picture	white1_pain_true	766826	18980	1	5167	1	18980	5000	other	0
32	Picture	asian1_pain_false	789992	17030	1	5167	1	17030	5000	other	0
33	Picture	white1_pain_true	809492	13380	1	5167	1	13380	5000	other	0
34	Picture	white1_pain_true	829159	13440	1	5167	1	13440	5000	other	0
35	Picture	asian1_pain_true	846159	10740	1	5167	1	10740	5000	other	0
36	Picture	white1_pain_false	863658	11360	1	5167	1	11360	5000	other	0
37	Picture	white1_pain_false	888658	18920	1	5167	1	18920	5000	other	0
38	Picture	white1_pain_true	911825	16990	1	5167	1	16990	5000	other	0
39	Picture	asian1_pain_true	930158	12170	1	5167	1	12170	5000	other	0
40	Picture	latin1_pain_true	948991	12660	1	5167	1	12660	5000	other	0
41	Picture	white1_pain_false	969157	14110	1	5167	1	14110	5000	other	0
42	Picture	asian1_pain_false	987991	12610	1	5167	1	12610	5000	other	0
43	Picture	white1_pain_false	1010990	16840	1	5167	1	16840	5000	other	0
44	Picture	white1_pain_false	1027657	10430	1	5167	1	10430	5000	other	0
45	Picture	white1_pain_false	1052657	18930	1	5167	1	18930	5000	other	0
46	Picture	white1_pain_false	1070323	11620	1	5167	1	11620	5000	other	0
47	Picture	white1_pain_false	1086490	10020	1	5167	1	10020	5000	other	0
48	Picture	asian1_pain_true	1104323	11710	1	5167	1	11710	5000	other	0
49	Picture	white1_pain_false	1126822	16430	1	5167	1	16430	5000	other	0
50	Picture	white1_pain_false	1151322	18300	1	5167	1	18300	5000	other	0
51	Picture	white1_pain_false	1170822	13360	1	5167	1	13360	5000	other	0
52	Picture	white1_pain_false	1196322	19300	1	5167	1	19300	5000	other	0
53	Picture	white1_pain_false	1216322	13910	1	5167	1	13910	5000	other	0
54	Picture	black1_pain_false	1237821	15310	1	5167	1	15310	5000	other	0
55	Picture	white1_pain_true	1254821	10850	1	5167	1	10850	5000	other	0
56	Picture	white1_pain_false	1280154	19170	1	5167	1	19170	5000	other	0
57	Picture	white1_pain_false	1301154	14910	1	5167	1	14910	5000	other	0
58	Picture	white1_pain_true	1325821	18540	1	5167	1	18540	5000	other	0
59	Picture	latin1_pain_false	1342320	10340	1	5167	1	10340	5000	other	0
60	Picture	white1_pain_true	1363154	14580	1	5167	1	14580	5000	other	0
61	Picture	asian1_pain_true	1385653	16340	1	5167	1	16340	5000	other	0
62	Picture	asian1_pain_true	1404820	13070	1	5167	1	13070	5000	other	0
63	Picture	latin1_pain_true	1424986	14040	1	5167	1	14040	5000	other	0
64	Picture	latin1_pain_true	1447986	16800	1	5167	1	16800	5000	other	0
65	Picture	asian1_pain_false	1464986	10870	1	5167	1	10870	5000	other	0
66	Picture	latin1_pain_false	1489986	18850	1	5167	1	18850	5000	other	0
67	Picture	white1_pain_false	1506819	10670	1	5167	1	10670	5000	other	0
68	Picture	black1_pain_false	1526152	13250	1	5167	1	13250	5000	other	0
69	Picture	white1_pain_false	1547819	15520	1	5167	1	15520	5000	other	0
70	Picture	asian1_pain_true	1567152	13090	1	5167	1	13090	5000	other	0
71	Picture	white1_pain_false	1586985	13660	1	5167	1	13660	5000	other	0
72	Picture	black1_pain_false	1610818	17650	1	5167	1	17650	5000	other	0
73	Picture	white1_pain_false	1627651	10770	1	5167	1	10770	5000	other	0
74	Picture	latin1_pain_true	1651318	17440	1	5167	1	17440	5000	other	0
75	Picture	white1_pain_true	1667651	10230	1	5167	1	10230	5000	other	0
76	Picture	white1_pain_true	1687151	13360	1	5167	1	13360	5000	other	0
77	Picture	black1_pain_false	1706150	12840	1	5167	1	12840	5000	other	0
78	Picture	white1_pain_false	1723150	10880	1	5167	1	10880	5000	other	0
79	Picture	latin1_pain_false	1746150	16810	1	5167	1	16810	5000	other	0
80	Picture	black1_pain_false	1767816	15470	1	5167	1	15470	5000	other	0
81	Picture	white1_pain_true	1790816	16820	1	5167	1	16820	5000	other	0
82	Picture	asian1_pain_false	1814983	17960	1	5167	1	17960	5000	other	0
83	Picture	latin1_pain_false	1835482	14310	1	5167	1	14310	5000	other	0
84	Picture	white1_pain_true	1859982	18300	1	5167	1	18300	5000	other	0
85	Picture	white1_pain_false	1882149	16060	1	5167	1	16060	5000	other	0
86	Picture	asian1_pain_false	1904482	16090	1	5167	1	16090	5000	other	0
87	Picture	latin1_pain_false	1929315	18600	1	5167	1	18600	5000	other	0
88	Picture	latin1_pain_false	1947981	12410	1	5167	1	12410	5000	other	0
89	Picture	black1_pain_false	1969148	15000	1	5167	1	15000	5000	other	0
90	Picture	white1_pain_true	1993148	17770	1	5167	1	17770	5000	other	0
91	Picture	black1_pain_true	2016314	17010	1	5167	1	17010	5000	other	0
92	Picture	white1_pain_true	2037481	14920	1	5167	1	14920	5000	other	0
93	Picture	latin1_pain_true	2061814	18160	1	5167	1	18160	5000	other	0
94	Picture	white1_pain_true	2079313	11300	1	5167	1	11300	5000	other	0
95	Picture	latin1_pain_false	2100480	15040	1	5167	1	15040	5000	other	0
96	Picture	asian1_pain_true	2124980	18380	1	5167	1	18380	5000	other	0
97	Picture	white1_pain_true	2142980	11800	1	5167	1	11800	5000	other	0
98	Picture	white1_pain_false	2164979	15790	1	5167	1	15790	5000	other	0
99	Picture	white1_pain_false	2185479	14270	1	5167	1	14270	5000	other	0
100	Picture	asian1_pain_false	2204812	13100	1	5167	1	13100	5000	other	0
101	Picture	white1_pain_false	2227812	16780	1	5167	1	16780	5000	other	0
102	Picture	white1_pain_false	2253978	19930	1	5167	1	19930	5000	other	0
103	Picture	white1_pain_false	2274645	14510	1	5167	1	14510	5000	other	0
104	Picture	latin1_pain_true	2292645	11750	1	5167	1	11750	5000	other	0
105	Picture	white1_pain_false	2314478	15670	1	5167	1	15670	5000	other	0
106	Picture	black1_pain_false	2339811	19150	1	5167	1	19150	5000	other	0
107	Picture	white1_pain_true	2364144	18120	1	5167	1	18120	5000	other	0
108	Picture	white1_pain_false	2385644	15230	1	5167	1	15230	5000	other	0
109	Picture	asian1_pain_false	2408477	16580	1	5167	1	16580	5000	other	0
110	Picture	white1_pain_false	2425977	11230	1	5167	1	11230	5000	other	0
111	Picture	white1_pain_false	2445310	13220	1	5167	1	13220	5000	other	0
112	Picture	white1_pain_true	2461810	10290	1	5167	1	10290	5000	other	0
113	Picture	white1_pain_false	2480143	12140	1	5167	1	12140	5000	other	0
114	Picture	white1_pain_false	2502809	16530	1	5167	1	16530	5000	other	0
115	Picture	latin1_pain_false	2521309	12320	1	5167	1	12320	5000	other	0
116	Picture	white1_pain_false	2539309	11950	1	5167	1	11950	5000	other	0
117	Picture	white1_pain_false	2564309	18840	1	5167	1	18840	5000	other	0
118	Picture	asian1_pain_false	2580975	10600	1	5167	1	10600	5000	other	0
119	Picture	asian1_pain_true	2605808	18700	1	5167	1	18700	5000	other	0
120	Picture	latin1_pain_false	2628975	17040	1	5167	1	17040	5000	other	0
121	Picture	asian1_pain_false	2648308	13170	1	5167	1	13170	5000	other	0
122	Picture	black1_pain_false	2666141	11720	1	5167	1	11720	5000	other	0
123	Picture	latin1_pain_false	2689141	16890	1	5167	1	16890	5000	other	0
124	Picture	white1_pain_false	2715141	19750	1	5167	1	19750	5000	other	0
125	Picture	latin1_pain_false	2738474	17110	1	5167	1	17110	5000	other	0
126	Picture	latin1_pain_false	2756140	11600	1	5167	1	11600	5000	other	0
