Scenario - MEG
Logfile written - 10/08/2021 12:20:31

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	50333	0	1	5167	1	0	5000	other	0
2	Picture	latin1_pain_true	164998	13630	1	5167	1	13630	5000	other	0
3	Picture	black1_pain_false	181498	10400	1	5167	1	10400	5000	other	0
4	Picture	latin1_pain_true	203498	15810	1	5167	1	15810	5000	other	0
5	Picture	asian1_pain_false	228164	18430	1	5167	1	18430	5000	other	0
6	Picture	white1_pain_true	250664	16440	1	5167	1	16440	5000	other	0
7	Picture	white1_pain_true	271664	14830	1	5167	1	14830	5000	other	0
8	Picture	black1_pain_true	292164	14300	1	5167	1	14300	5000	other	0
9	Picture	black1_pain_false	313497	15260	1	5167	1	15260	5000	other	0
10	Picture	latin1_pain_false	330497	10890	1	5167	1	10890	5000	other	0
11	Picture	asian1_pain_false	356163	19430	1	5167	1	19430	5000	other	0
12	Picture	asian1_pain_true	380330	17970	1	5167	1	17970	5000	other	0
13	Picture	white1_pain_false	404496	17980	1	5167	1	17980	5000	other	0
14	Picture	white1_pain_true	422162	11450	1	5167	1	11450	5000	other	0
15	Picture	latin1_pain_false	438496	10240	1	5167	1	10240	5000	other	0
16	Picture	latin1_pain_false	456829	12070	1	5167	1	12070	5000	other	0
17	Picture	white1_pain_true	477328	14290	1	5167	1	14290	5000	other	0
18	Picture	white1_pain_false	503162	19730	1	5167	1	19730	5000	other	0
19	Picture	white1_pain_true	519495	10190	1	5167	1	10190	5000	other	0
20	Picture	latin1_pain_false	543328	17720	1	5167	1	17720	5000	other	0
21	Picture	white1_pain_false	568328	18880	1	5167	1	18880	5000	other	0
22	Picture	white1_pain_false	585161	10620	1	5167	1	10620	5000	other	0
23	Picture	latin1_pain_true	605494	14170	1	5167	1	14170	5000	other	0
24	Picture	white1_pain_false	621827	10140	1	5167	1	10140	5000	other	0
25	Picture	latin1_pain_false	641494	13400	1	5167	1	13400	5000	other	0
26	Picture	asian1_pain_false	659160	11500	1	5167	1	11500	5000	other	0
26	Quit		665193	17533	NA
