Scenario - MEG
Logfile written - 10/08/2021 12:11:12

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	50333	0	1	5167	1	0	5000	other	0
2	Picture	white1_pain_false	164332	13000	1	5167	1	13000	5000	other	0
3	Picture	white1_pain_false	190498	19960	1	5167	1	19960	5000	other	0
4	Picture	latin1_pain_false	209498	12760	1	5167	1	12760	5000	other	0
5	Picture	white1_pain_false	233498	17880	1	5167	1	17880	5000	other	0
6	Picture	white1_pain_false	259498	19830	1	5167	1	19830	5000	other	0
7	Picture	asian1_pain_true	280997	15440	1	5167	1	15440	5000	other	0
8	Picture	white1_pain_false	304164	16920	1	5167	1	16920	5000	other	0
9	Picture	asian1_pain_false	328164	17820	1	5167	1	17820	5000	other	0
10	Picture	white1_pain_false	345330	10970	1	5167	1	10970	5000	other	0
11	Picture	asian1_pain_true	367330	15790	1	5167	1	15790	5000	other	0
12	Picture	asian1_pain_false	391830	18380	1	5167	1	18380	5000	other	0
13	Picture	black1_pain_false	412996	15030	1	5167	1	15030	5000	other	0
14	Picture	asian1_pain_true	429829	10740	1	5167	1	10740	5000	other	0
15	Picture	black1_pain_true	451996	16030	1	5167	1	16030	5000	other	0
16	Picture	white1_pain_false	469329	11130	1	5167	1	11130	5000	other	0
17	Picture	white1_pain_false	486995	11490	1	5167	1	11490	5000	other	0
18	Picture	question	510328	17990	1	30166	1	17990	30000	other	0
19	Picture	asian1_pain_true	559661	17990	1	5167	1	17990	5000	other	0
20	Picture	asian1_pain_false	578494	12710	1	5167	1	12710	5000	other	0
21	Picture	asian1_pain_true	595328	10730	1	5167	1	10730	5000	other	0
22	Picture	latin1_pain_true	620661	19160	1	5167	1	19160	5000	other	0
23	Quit		640048	13349	NA
