Scenario - MEG
Logfile written - 10/07/2021 18:45:48

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
84	Picture	asian1_pain_false	1993214	12100	1	5171	2	12100	5000	other	0
85	Picture	white1_pain_false	2012564	13300	1	5171	2	13300	5000	other	0
86	Picture	white1_pain_false	2033249	14580	1	5171	2	14580	5000	other	0
87	Picture	asian1_pain_false	2049763	10340	1	5171	2	10340	5000	other	0
88	Picture	latin1_pain_false	2073450	17500	1	5171	1	17500	5000	other	0
89	Picture	asian1_pain_false	2099306	19780	1	5171	1	19780	5000	other	0
90	Picture	latin1_pain_false	2120992	15580	1	5171	2	15580	5000	other	0
91	Picture	start_experiment	2766883	0	1	5171	1	0	5000	other	0
92	Picture	asian1_pain_false	2886320	18480	1	5171	1	18480	5000	other	0
93	Picture	white1_pain_false	2906170	13740	1	5171	2	13740	5000	other	0
94	Picture	white1_pain_true	2924019	11660	1	5338	2	11660	5000	other	0
95	Picture	asian1_pain_false	2949541	19080	1	5171	2	19080	5000	other	0
96	Picture	asian1_pain_true	2974229	18550	1	5171	1	18550	5000	other	0
97	Picture	white1_pain_false	2991577	11300	1	5171	2	11300	5000	other	0
98	Picture	white1_pain_false	3012262	14550	1	5171	2	14550	5000	other	0
99	Picture	asian1_pain_true	3028276	10030	1	5171	1	10030	5000	other	0
100	Picture	latin1_pain_true	3046792	12520	1	5171	2	12520	5000	other	0
101	Picture	latin1_pain_false	3072481	19650	1	5171	2	19650	5000	other	0
102	Picture	latin1_pain_false	3096168	17710	1	5171	2	17710	5000	other	0
103	Picture	white1_pain_false	3116352	14050	1	5171	2	14050	5000	other	0
104	Picture	white1_pain_false	3135702	13190	1	5171	1	13190	5000	other	0
105	Picture	white1_pain_false	3151883	10080	1	5171	1	10080	5000	other	0
106	Picture	latin1_pain_false	3168397	10380	1	5171	1	10380	5000	other	0
107	Picture	white1_pain_false	3189749	15280	1	5171	2	15280	5000	other	0
108	Picture	asian1_pain_false	3206763	10880	1	5171	1	10880	5000	other	0
109	Picture	white1_pain_false	3229450	16480	1	5171	2	16480	5000	other	0
110	Picture	white1_pain_true	3254638	19130	1	5171	2	19130	5000	other	0
111	Picture	white1_pain_false	3273488	12770	1	5171	2	12770	5000	other	0
112	Picture	white1_pain_false	3298509	18950	1	5171	2	18950	5000	other	0
113	Picture	white1_pain_true	3323698	19000	1	5171	2	19000	5000	other	0
114	Picture	white1_pain_false	3341046	11380	1	5338	1	11380	5000	other	0
115	Picture	white1_pain_false	3363899	16570	1	5171	2	16570	5000	other	0
116	Picture	white1_pain_false	3380414	10470	1	5171	2	10470	5000	other	0
117	Picture	white1_pain_false	3399263	12660	1	5171	2	12660	5000	other	0
118	Picture	black1_pain_false	3421449	16090	1	5171	1	16090	5000	other	0
119	Picture	black1_pain_true	3443468	15860	1	5171	1	15860	5000	other	0
120	Picture	white1_pain_true	3468156	18560	1	5171	1	18560	5000	other	0
121	Picture	white1_pain_false	3492677	18480	1	5171	2	18480	5000	other	0
122	Picture	white1_pain_false	3516865	18060	1	5171	1	18060	5000	other	0
123	Picture	white1_pain_false	3537549	14540	1	5171	2	14540	5000	other	0
124	Picture	asian1_pain_false	3559402	15850	1	5171	2	15850	5000	other	0
125	Picture	black1_pain_false	3583089	17610	1	5171	2	17610	5000	other	0
126	Picture	asian1_pain_false	3604441	15200	1	5171	2	15200	5000	other	0
127	Picture	asian1_pain_true	3624625	14230	1	5171	2	14230	5000	other	0
128	Picture	black1_pain_true	3649146	18510	1	5171	1	18510	5000	other	0
129	Picture	black1_pain_true	3670498	15210	1	5171	2	15210	5000	other	0
130	Picture	white1_pain_false	3687679	11210	1	5338	1	11210	5000	other	0
131	Picture	question	3712200	19030	1	30193	1	19030	30000	other	0
132	Picture	latin1_pain_true	3762577	19030	1	5171	2	19030	5000	other	0
133	Picture	asian1_pain_true	3784096	15560	1	5171	2	15560	5000	other	0
134	Picture	asian1_pain_false	3808784	18510	1	5171	1	18510	5000	other	0
135	Picture	white1_pain_false	3832972	18150	1	5171	1	18150	5000	other	0
136	Picture	asian1_pain_false	3856992	18040	1	5171	2	18040	5000	other	0
137	Picture	black1_pain_false	3877677	14660	1	5004	2	14660	5000	other	0
138	Picture	latin1_pain_false	3904200	19740	1	5171	1	19740	5000	other	0
139	Picture	latin1_pain_false	3921882	11630	1	5171	1	11630	5000	other	0
140	Picture	white1_pain_false	3946570	18510	1	5171	1	18510	5000	other	0
141	Picture	white1_pain_false	3968589	16080	1	5171	1	16080	5000	other	0
142	Picture	white1_pain_false	3985603	10900	1	5171	2	10900	5000	other	0
143	Picture	asian1_pain_true	4002285	10660	1	5171	1	10660	5000	other	0
144	Picture	white1_pain_true	4025471	17140	1	5171	1	17140	5000	other	0
145	Picture	white1_pain_true	4047657	16000	1	5171	2	16000	5000	other	0
146	Picture	black1_pain_true	4073346	19590	1	5171	2	19590	5000	other	0
147	Picture	asian1_pain_false	4090528	11060	1	5171	1	11060	5000	other	0
148	Picture	white1_pain_false	4107542	11040	1	5171	1	11040	5000	other	0
149	Picture	white1_pain_true	4133398	19790	1	5171	1	19790	5000	other	0
150	Picture	white1_pain_true	4159420	19830	1	5171	2	19830	5000	other	0
151	Picture	asian1_pain_false	4181439	15880	1	5338	1	15880	5000	other	0
152	Picture	latin1_pain_true	4204960	17270	1	5171	2	17270	5000	other	0
153	Picture	asian1_pain_false	4230982	19880	1	5505	2	19880	5000	other	0
154	Picture	black1_pain_true	4253835	16430	1	5171	1	16430	5000	other	0
155	Picture	question	4276188	17090	1	30193	1	17090	30000	other	0
156	Picture	black1_pain_true	4324563	17090	1	5171	1	17090	5000	other	0
157	Picture	latin1_pain_false	4345248	14570	1	5171	1	14570	5000	other	0
158	Picture	white1_pain_false	4363430	12080	1	5171	2	12080	5000	other	0
159	Picture	white1_pain_false	4383614	13990	1	5338	1	13990	5000	other	0
160	Picture	black1_pain_true	4404299	14470	1	5171	1	14470	5000	other	0
161	Picture	white1_pain_false	4429320	19010	1	5171	1	19010	5000	other	0
162	Picture	asian1_pain_true	4446836	11430	1	5171	1	11430	5000	other	0
163	Picture	black1_pain_false	4471857	18990	1	5171	2	18990	5000	other	0
164	Picture	asian1_pain_false	4490206	12290	1	5171	1	12290	5000	other	0
165	Picture	asian1_pain_true	4516229	19950	1	5171	1	19950	5000	other	0
166	Picture	black1_pain_false	4540583	18200	1	5171	2	18200	5000	other	0
167	Picture	latin1_pain_true	4565271	18550	1	5171	1	18550	5000	other	0
168	Picture	black1_pain_true	4588625	17330	1	5171	2	17330	5000	other	0
169	Picture	black1_pain_true	4613980	19240	1	5171	1	19240	5000	other	0
170	Picture	black1_pain_false	4635332	15250	1	5171	2	15250	5000	other	0
171	Picture	latin1_pain_false	4652180	10800	1	5171	2	10800	5000	other	0
172	Picture	asian1_pain_false	4670028	11600	1	5171	2	11600	5000	other	0
173	Picture	black1_pain_true	4690046	14070	1	5171	2	14070	5000	other	0
174	Picture	asian1_pain_false	4712398	16210	1	5171	1	16210	5000	other	0
175	Picture	white1_pain_false	4736920	18230	1	5171	2	18230	5000	other	0
176	Picture	asian1_pain_true	4761774	18790	1	5171	2	18790	5000	other	0
177	Picture	white1_pain_false	4779456	11600	1	5171	1	11600	5000	other	0
178	Picture	white1_pain_false	4802810	17250	1	5171	1	17250	5000	other	0
179	Picture	start_experiment	5448535	0	1	5171	1	0	5000	other	0
180	Picture	white1_pain_false	5562967	13350	1	5171	2	13350	5000	other	0
181	Picture	latin1_pain_true	5582150	13120	1	5171	1	13120	5000	other	0
182	Picture	asian1_pain_false	5605504	17300	1	5171	1	17300	5000	other	0
183	Picture	white1_pain_true	5621851	10170	1	5171	1	10170	5000	other	0
184	Picture	white1_pain_false	5639366	11510	1	5171	1	11510	5000	other	0
185	Picture	white1_pain_true	5655547	10160	1	5171	2	10160	5000	other	0
186	Picture	black1_pain_false	5677900	16280	1	5171	2	16280	5000	other	0
187	Picture	black1_pain_false	5703755	19860	1	5171	2	19860	5000	other	0
188	Picture	asian1_pain_false	5721104	11160	1	5171	2	11160	5000	other	0
189	Picture	white1_pain_false	5742789	15610	1	5171	2	15610	5000	other	0
190	Picture	black1_pain_true	5765309	16480	1	5171	2	16480	5000	other	0
191	Picture	white1_pain_false	5789997	18600	1	5171	2	18600	5000	other	0
192	Picture	asian1_pain_false	5812516	16060	1	5171	1	16060	5000	other	0
193	Picture	asian1_pain_false	5833367	14620	1	5171	1	14620	5000	other	0
194	Picture	black1_pain_false	5853051	13570	1	5171	2	13570	5000	other	0
195	Picture	white1_pain_false	5873068	14050	1	5171	2	14050	5000	other	0
196	Picture	latin1_pain_false	5896756	17630	1	5171	2	17630	5000	other	0
197	Picture	asian1_pain_false	5921277	18380	1	5171	2	18380	5000	other	0
198	Picture	white1_pain_false	5940794	13490	1	5171	2	13490	5000	other	0
199	Picture	asian1_pain_true	5962145	15150	1	5171	2	15150	5000	other	0
200	Picture	white1_pain_true	5981162	12920	1	5171	2	12920	5000	other	0
201	Picture	white1_pain_false	6005350	18090	1	5171	1	18090	5000	other	0
202	Picture	latin1_pain_true	6022364	10960	1	5171	2	10960	5000	other	0
203	Picture	asian1_pain_false	6046051	17460	1	5171	1	17460	5000	other	0
204	Picture	white1_pain_true	6072241	19980	1	5171	1	19980	5000	other	0
205	Picture	white1_pain_false	6091424	13150	1	5171	1	13150	5000	other	0
206	Picture	white1_pain_false	6111441	13920	1	5171	2	13920	5000	other	0
207	Picture	white1_pain_true	6135462	17840	1	5171	2	17840	5000	other	0
208	Picture	latin1_pain_true	6157481	15990	1	5171	2	15990	5000	other	0
209	Picture	asian1_pain_true	6175330	11720	1	5171	1	11720	5000	other	0
210	Picture	white1_pain_true	6201352	19960	1	5171	2	19960	5000	other	0
211	Picture	black1_pain_false	6219034	11590	1	5171	2	11590	5000	other	0
212	Picture	white1_pain_false	6237884	12600	1	5171	2	12600	5000	other	0
213	Picture	latin1_pain_false	6257067	13070	1	5171	2	13070	5000	other	0
214	Picture	white1_pain_true	6278752	15580	1	5171	2	15580	5000	other	0
215	Picture	asian1_pain_false	6300271	15370	1	5171	1	15370	5000	other	0
216	Picture	latin1_pain_true	6319287	13000	1	5171	1	13000	5000	other	0
217	Picture	asian1_pain_false	6341307	15730	1	5171	2	15730	5000	other	0
218	Picture	black1_pain_false	6362658	15320	1	5171	2	15320	5000	other	0
219	Picture	black1_pain_false	6386012	17210	1	5171	1	17210	5000	other	0
220	Picture	white1_pain_true	6411534	19550	1	5171	2	19550	5000	other	0
221	Picture	white1_pain_false	6431218	13670	1	5338	1	13670	5000	other	0
222	Picture	white1_pain_false	6451902	14540	1	5171	1	14540	5000	other	0
223	Picture	white1_pain_true	6468416	10270	1	5171	1	10270	5000	other	0
224	Picture	white1_pain_false	6488601	14110	1	5171	1	14110	5000	other	0
225	Picture	black1_pain_true	6511120	16430	1	5171	1	16430	5000	other	0
226	Picture	white1_pain_true	6530303	13120	1	5171	2	13120	5000	other	0
227	Picture	white1_pain_true	6554991	18530	1	5171	2	18530	5000	other	0
228	Picture	asian1_pain_false	6574008	12910	1	5171	2	12910	5000	other	0
229	Picture	white1_pain_true	6598529	18450	1	5171	2	18450	5000	other	0
230	Picture	white1_pain_false	6617545	12890	1	5171	2	12890	5000	other	0
231	Picture	asian1_pain_false	6634727	11230	1	5171	2	11230	5000	other	0
232	Picture	black1_pain_false	6656412	15670	1	5171	1	15670	5000	other	0
233	Picture	white1_pain_false	6672593	10110	1	5171	2	10110	5000	other	0
234	Picture	white1_pain_false	6697781	19090	1	5171	1	19090	5000	other	0
