Scenario - MEG
Logfile written - 10/05/2021 20:51:56

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	160964	0	1	5171	1	0	5000	other	0
2	Picture	latin1_pain_true	273561	11770	1	5171	1	11770	5000	other	0
3	Picture	latin1_pain_false	291243	11630	1	5171	1	11630	5000	other	0
4	Picture	white1_pain_false	315764	18590	1	5171	1	18590	5000	other	0
5	Picture	black1_pain_false	333613	11850	1	5171	1	11850	5000	other	0
6	Picture	white1_pain_true	357300	17580	1	5171	1	17580	5000	other	0
7	Picture	white1_pain_false	373981	10680	1	5171	1	10680	5000	other	0
8	Picture	asian1_pain_false	391163	11230	1	5171	1	11230	5000	other	0
9	Picture	latin1_pain_false	409845	12760	1	5171	1	12760	5000	other	0
10	Picture	black1_pain_false	426860	11050	1	5171	1	11050	5000	other	0
11	Picture	white1_pain_false	452382	19600	1	5171	1	19600	5000	other	0
12	Picture	white1_pain_false	470565	12230	1	5171	1	12230	5000	other	0
13	Picture	white1_pain_false	495086	18530	1	5171	1	18530	5000	other	0
14	Picture	black1_pain_false	520608	19520	1	5171	1	19520	5000	other	0
15	Picture	latin1_pain_false	543628	16900	1	5171	1	16900	5000	other	0
16	Picture	asian1_pain_false	563311	13650	1	5171	1	13650	5000	other	0
17	Picture	white1_pain_true	579826	10440	1	5171	1	10440	5000	other	0
18	Picture	asian1_pain_false	602679	16950	1	5171	1	16950	5000	other	0
19	Picture	asian1_pain_false	626866	18180	1	5171	1	18180	5000	other	0
20	Picture	white1_pain_true	643547	10630	1	5171	1	10630	5000	other	0
21	Picture	white1_pain_false	666901	17370	1	5171	1	17370	5000	other	0
22	Picture	white1_pain_false	691255	18310	1	5171	1	18310	5000	other	0
23	Picture	white1_pain_false	711773	14500	1	5171	1	14500	5000	other	0
24	Picture	latin1_pain_false	735460	17700	1	5171	1	17700	5000	other	0
25	Picture	white1_pain_true	760148	18680	1	5171	1	18680	5000	other	0
26	Picture	asian1_pain_true	783835	17680	1	5171	1	17680	5000	other	0
27	Picture	white1_pain_false	808190	18310	1	5171	1	18310	5000	other	0
28	Picture	asian1_pain_false	828708	14440	1	5171	1	14440	5000	other	0
29	Picture	asian1_pain_false	845389	10730	1	5171	1	10730	5000	other	0
30	Picture	asian1_pain_true	865906	14550	1	5171	1	14550	5000	other	0
31	Picture	white1_pain_false	886090	14230	1	5171	1	14230	5000	other	0
32	Picture	white1_pain_false	911946	19840	1	5171	1	19840	5000	other	0
33	Picture	white1_pain_true	935133	17180	1	5171	1	17180	5000	other	0
34	Picture	white1_pain_false	951981	10790	1	5171	1	10790	5000	other	0
35	Picture	white1_pain_true	972832	14880	1	5171	1	14880	5000	other	0
36	Picture	white1_pain_true	996853	18110	1	5171	1	18110	5000	other	0
37	Picture	white1_pain_false	1013200	10330	1	5171	1	10330	5000	other	0
38	Picture	white1_pain_true	1037888	18660	1	5171	1	18660	5000	other	0
39	Picture	asian1_pain_true	1055070	11090	1	5171	1	11090	5000	other	0
40	Picture	asian1_pain_true	1072251	11280	1	5171	1	11280	5000	other	0
41	Picture	white1_pain_false	1090100	11950	1	5171	1	11950	5000	other	0
42	Picture	black1_pain_false	1113787	17760	1	5171	1	17760	5000	other	0
43	Picture	white1_pain_true	1130969	11130	1	5171	1	11130	5000	other	0
44	Picture	white1_pain_true	1150986	13960	1	5171	1	13960	5000	other	0
45	Picture	white1_pain_false	1168501	11590	1	5171	1	11590	5000	other	0
46	Picture	asian1_pain_false	1188685	14210	1	5171	1	14210	5000	other	0
47	Picture	white1_pain_false	1209703	15000	1	5171	1	15000	5000	other	0
48	Picture	latin1_pain_false	1227552	11640	1	5171	2	11640	5000	other	0
49	Picture	latin1_pain_false	1251073	17540	1	5171	1	17540	5000	other	0
50	Picture	white1_pain_false	1268588	11480	1	5171	1	11480	5000	other	0
51	Picture	latin1_pain_false	1286770	12100	1	5171	1	12100	5000	other	0
52	Picture	asian1_pain_false	1304118	11330	1	5171	1	11330	5000	other	0
53	Picture	white1_pain_false	1328473	18410	1	5171	1	18410	5000	other	0
54	Picture	white1_pain_true	1352827	18320	1	5171	1	18320	5000	other	0
55	Picture	white1_pain_true	1377849	18950	1	5171	1	18950	5000	other	0
56	Picture	white1_pain_true	1403204	19410	1	5171	1	19410	5000	other	0
57	Picture	latin1_pain_false	1428393	19080	1	5171	1	19080	5000	other	0
58	Picture	white1_pain_false	1445240	10860	1	5171	1	10860	5000	other	0
59	Picture	asian1_pain_false	1467093	15900	1	5171	1	15900	5000	other	0
60	Picture	latin1_pain_false	1484107	10980	1	5171	1	10980	5000	other	0
61	Picture	white1_pain_false	1505292	15120	1	5171	1	15120	5000	other	0
62	Picture	black1_pain_true	1522807	11560	1	5171	1	11560	5000	other	0
63	Picture	latin1_pain_false	1547996	19280	1	5171	1	19280	5000	other	0
64	Picture	black1_pain_false	1569181	15130	1	5171	1	15130	5000	other	0
65	Picture	white1_pain_true	1587197	11990	1	5171	1	11990	5000	other	0
66	Picture	white1_pain_true	1606547	13360	1	5171	1	13360	5000	other	0
67	Picture	asian1_pain_true	1629233	16750	1	5171	1	16750	5000	other	0
68	Picture	black1_pain_false	1647415	12230	1	5171	1	12230	5000	other	0
69	Picture	white1_pain_false	1664096	10620	1	5171	1	10620	5000	other	0
70	Picture	black1_pain_false	1686783	16710	1	5171	1	16710	5000	other	0
